#{"t_start": 1620345268.8266912, "env_id": null}
r,l,t
-6818.898972,401,7.425348
-6746.047259,401,12.085812
-6870.797838,401,16.79746
-6821.803595,401,21.536365
-6898.478812,401,26.323754
-6558.862411,401,32.442558
-6650.333153,401,38.007999
-6265.712119,401,43.439416
-6508.71543,401,48.95981
-6689.058119,401,54.30975
-6267.143399,401,59.909127
-6711.435539,401,65.280684
-6736.445486,401,70.658361
-6708.866648,401,76.178246
-6591.00439,401,81.542825
-5811.871793,401,86.895485
-6258.739779,401,92.252397
-6451.649595,401,97.631965
-6411.150067,401,103.014482
-6427.438107,401,108.388569
-6446.321984,401,113.771104
-6320.872537,401,119.135123
-6428.375568,401,124.491625
-6225.582019,401,129.879636
-6477.832578,401,135.23391
-5903.787413,401,140.731987
-6484.515632,401,146.097799
-6389.391056,401,151.482422
-6190.487243,401,156.841618
-6279.295106,401,162.235244
-6374.57769,401,167.613309
-6289.94646,401,172.986613
-6440.836428,401,178.343424
-6190.801154,401,183.898714
-5938.590634,401,189.339766
-6360.078438,401,194.742491
-6422.390708,401,200.167347
-6255.296003,401,205.528822
-5782.34157,401,210.89284
-6389.445719,401,216.299333
-6561.411441,401,221.691139
-6052.680258,401,227.073527
-6451.521816,401,232.416287
-6443.459644,401,237.797887
-6334.963087,401,243.184179
-6520.602908,401,248.548544
-6303.40569,401,254.125618
-6376.945089,401,259.471748
-6072.964094,401,264.842693
-6592.959076,401,270.190174
-6381.227478,401,275.573543
-6505.417809,401,280.933804
-6159.969475,401,286.316829
-6352.544524,401,291.824253
-6105.736198,401,297.185915
-5947.694003,401,302.550793
-6245.585843,401,307.937174
-6103.689575,401,313.301239
-6258.985898,401,318.677619
-6112.244862,401,324.057381
-5623.774269,401,329.443531
-5973.513831,401,334.830072
-5852.498004,401,340.190319
-5883.601899,401,345.580816
-4209.709407,401,350.951669
-5680.48427,401,356.330927
-6463.674932,401,361.824583
-6230.613783,401,367.229115
-5460.131531,401,372.590316
-5088.170382,401,377.974685
-5662.996316,401,383.35807
-6291.082578,401,388.749217
-5906.006293,401,394.118612
-5352.383905,401,399.642234
-5924.286743,401,405.037979
-5489.927467,401,410.436436
-5416.849863,401,415.798824
-6080.9939,401,421.197265
-6152.277549,401,426.569805
-5770.883478,401,431.952728
-5834.906475,401,437.342784
-4220.599227,401,442.832768
-5355.702921,401,448.222078
-5858.851858,401,453.703337
-3785.645732,401,459.555059
-4819.467159,401,465.166337
-5182.54452,401,470.687528
-5047.263689,401,476.109883
-5100.207981,401,481.485166
-4640.778944,401,486.887377
-5633.885776,401,492.257897
-4416.989452,401,497.679839
-4647.770164,401,503.037098
-4830.195011,401,508.433923
-3073.554991,401,513.824795
-3673.66366,401,519.185043
-4249.288892,401,524.574158
-3109.807717,401,529.958333
-5747.827837,401,535.342221
-3890.516177,401,541.222203
-4228.612045,401,546.646153
-4029.805027,401,551.971702
-4713.337856,401,557.382737
-4279.956729,401,562.756894
-4654.220064,401,568.138973
-3807.32673,401,573.512362
-4149.906244,401,578.979469
-5459.443455,401,584.381805
-4957.262297,401,589.754382
-5336.494959,401,595.136339
-3658.249518,401,600.582094
-3780.314574,401,606.075794
-3721.715865,401,611.444731
-3140.496408,401,616.819219
-2778.445506,401,622.21636
-2927.348016,401,627.605972
-3162.35116,401,632.98046
-4373.278892,401,638.374131
-3648.811858,401,643.738839
-4057.268495,401,649.103484
-3747.981924,401,654.499992
-2844.584195,401,659.983619
-2034.289161,401,665.360693
-3325.03913,401,670.794463
-4092.248883,401,676.176307
-3029.708533,401,681.553003
-5311.535504,401,686.904669
-3016.943854,401,692.267795
-3558.731349,401,697.633355
-3245.896396,401,703.012631
-3203.595123,401,708.404386
-2446.531822,401,713.748961
-2672.246442,401,719.109723
-3608.903844,401,724.474319
-4700.586992,401,729.890187
-4463.355432,401,735.273088
-3432.747203,401,740.707395
-3784.980254,401,746.084977
-3984.162679,401,751.472481
-3276.799278,401,756.891963
-3770.032102,401,762.325843
-4406.072622,401,767.696451
-5186.833074,401,773.095426
-3897.191751,401,778.464236
-4902.933444,401,783.831288
-3887.343822,401,789.234095
-3629.433322,401,794.585292
-4483.244504,401,799.964033
-3044.843296,401,805.322149
-5585.406181,401,810.716102
-2744.932419,401,816.109484
-3614.453154,401,821.484061
-3790.618376,401,826.860317
-2424.141051,401,832.247444
-3749.92266,401,837.630142
-4384.649761,401,843.036963
-2387.451238,401,848.399242
-3928.26,401,853.778272
-3356.093748,401,859.151551
-2924.769864,401,864.702012
-2838.229691,401,870.124579
